1 x 1   Plan 9 From Outer Space (Mike Nelson Solo)	2006-01-01	  
1 x 2   Night of the Living Dead (Mike Nelson solo)	2006-01-18	  
1 x 3   Road House	2006-07-21	  
1 x 4   The Fifth Element	2006-08-06	  
1 x 5   Star Trek V: The Final Frontier	2006-08-18	  
1 x 6   Cocktail	2006-08-29	  
1 x 7   xXx	2006-09-06	  
1 x 8   Crossroads	2006-09-15	  
1 x 9   X-Men	2006-09-22	  
1 x 161	Dr. Who & the Daleks	2013-05-23	  
Special	Night of the Shorts: SF Sketchfest 2013	2013-05-31	
1 x 162	Firehead	2013-06-13	  
1 x 163	Fangs of the Living Dead	2013-06-26	  
1 x 164	Silent Rage	2013-09-06	  
Special	Rifftrax Live: Manos the Hands of Fate	2012-08-16	
1 x 165	Starship Troopers	2013-10-04	  
1 x 166	Supersonic Man	2013-10-11	  
Special	Rifftrax Live: Night of the Living Dead	2013-10-24	
1 x 167	Harry Potter and the Deathly Hallows: Part 1	2013-10-31	  
1 x 168	Swamp of the Ravens	2013-11-20	  
Special	Rifftrax Live: Santa Claus Conquers the Martians	2013-12-05	
1 x 169	Dr. Who: Daleks - Invasion Earth: 2150 A.D.	2013-12-13	  
1 x 170	Treasure of the Amazon	2013-12-27	  
1 x 171	The Wizard of Oz	2014-01-17	  
1 x 172	Night of the Lepus	2014-02-07	  
1 x 173	Cyborg Cop 2	2014-03-07	  
1 x 174	Super Mario Bros.	2014-03-21	  
1 x 175	Terror at Tenkiller	2014-03-28	  
1 x 176	Fist of Fury	2014-04-11	  
1 x 177	Sisters of Death	2014-04-25	  
1 x 178	Attack of the Puppet People	2014-05-01	  
1 x 179	City of the Dead	2014-05-16	  
1 x 180	Zindy the Swamp Boy	2014-05-30	  
1 x 181	The Bride and the Beast	2014-06-06	  
1 x 182	Jack the Giant Killer	2014-06-20	  
1 x 183	Yambao	2014-06-27	  
1 x 184	The Last Slumber Party	2014-07-18	  
1 x 185	The Beast of the Yellow Night	2014-08-08	  
1 x 186	Dinosaurus!	2014-08-28	  
1 x 187	The Sword and the Sorcerer	2014-09-12	  
1 x 188	R.O.T.O.R.	2014-10-03	  
1 x 189	Hawk the Slayer	2014-10-17	  
1 x 190	Godzilla	2014-10-24	  
1 x 191	Fun in Balloonland	2014-11-24	  
1 x 192	Wonder Women	2015-01-02	  
1 x 193	The Dark Power	2015-01-23	  
1 x 194	Kiss of the Tarantula	2015-01-30	  
1 x 195	Alien Outlaw	2015-02-06	  
1 x 196	Teenage Mutant Ninja Turtles (2014)	2015-02-27	  
Special	Night of the Shorts: SF Sketchfest 2015	2015-03-06	
1 x 197	Anaconda	2015-03-14	  
1 x 198	The Hideous Sun Demon	2015-03-20	  
1 x 199	The Incredible 2-Headed Transplant	2015-04-10	  
1 x 200	Radical Jack	2015-04-24	  
1 x 201	To Catch a Yeti	2015-05-01	  
1 x 202	Rock 'n' Roll Nightmare	2015-06-05	  
1 x 203	Fever Lake	2015-06-27	  
1 x 204	Stone Cold	2015-07-09	  
1 x 205	Julie and Jack	2015-07-17	  
1 x 206	Megaforce	2015-07-31	  
1 x 207	The Magic Sword	2015-08-14	  
1 x 208	Rollergator	2015-08-21	  
1 x 209	Manos: The Hands of Fate	2015-09-11	  
1 x 210	Death Promise	2015-09-25	  
1 x 211	No Retreat, No Surrender	2015-10-16	  
1 x 212	The Night Dracula Saved the World	2015-10-29	  
1 x 213	The Wizard	2015-11-20	  
1 x 214	I Believe in Santa Claus	2015-12-22	  
1 x 215	Icebreaker	2016-01-22	  
1 x 216	Harry Potter and the Deathly Hallows: Part 2	2016-03-08	  
1 x 218	Wizards of the Lost Kingdom	2016-03-11	  
1 x 219	Samurai Cop	2016-03-25	  
Special	Night of the Shorts IV: SF Sketchfest 2016	2016-04-06	
1 x 220	Cyber Tracker	2016-04-08	  
1 x 221	Star Wars Episode VII: The Force Awakens	2016-04-29	  
1 x 222	Arachnia	2016-05-13	  
1 x 223	Hillbillys in a Haunted House	2016-05-20	  
